transaction_id,announced_date,effective_date,from_team,to_team,asset_type,asset_name,player_id,status,source_url,source_updated_at,verified_at_utc,notes,player_name,latest_team,latest_age,latest_season,seasons_used,weighted_pie,weighted_minutes,weighted_availability,weighted_net_rating,weighted_plus_minus,pie_above_replacement,minutes_share,estimated_wins_above_replacement,impact_confidence
2026_SIX_TEAM_01,2026-07-08,2026-07-08,DET,MIL,PLAYER,Caris LeVert,1627747,OFFICIAL,https://www.nba.com/news/khris-middleton-to-wizards-as-part-of-6-team-trade,2026-07-08,2026-07-11,Official six-team transaction,Caris LeVert,DET,31.0,2025-26,3,0.0888,22.35,0.7609756097560976,3.02,1.415,0.011300000000000004,0.465625,0.32832150000000015,0.8804878048780488
2026_SIX_TEAM_01,2026-07-08,2026-07-08,LAC,DET,PLAYER,John Collins,1628381,OFFICIAL,https://www.nba.com/news/khris-middleton-to-wizards-as-part-of-6-team-trade,2026-07-08,2026-07-11,Official six-team transaction,John Collins,LAC,28.0,2025-26,3,0.10925,28.255000000000003,0.7335365853658538,-2.055,-1.125,0.03175,0.5886458333333334,1.1241737382812502,0.8667682926829269
2026_SIX_TEAM_01,2026-07-08,2026-07-08,MIL,DET,PLAYER,Gary Harris,203914,OFFICIAL,https://www.nba.com/news/khris-middleton-to-wizards-as-part-of-6-team-trade,2026-07-08,2026-07-11,Official six-team transaction,Gary Harris,MIL,31.0,2025-26,3,0.047850000000000004,15.63,0.5963414634146341,-2.625,-0.745,-0.029649999999999996,0.325625,-0.472118803125,0.798170731707317
2026_SIX_TEAM_01,2026-07-08,2026-07-08,MIL,DET,PLAYER,Taurean Prince,1627752,OFFICIAL,https://www.nba.com/news/khris-middleton-to-wizards-as-part-of-6-team-trade,2026-07-08,2026-07-11,Official six-team transaction,Taurean Prince,MIL,32.0,2025-26,3,0.06774999999999999,25.105000000000004,0.6097560975609756,-2.5999999999999996,-1.415,-0.009750000000000009,0.5230208333333334,-0.2549726562500002,0.8048780487804879
2026_MIN_BKN_CHI_CHA_01,2026-06-23,2026-07-10,MIN,BKN,PLAYER,Julius Randle,203944,OFFICIAL,https://www.nba.com/hornets/news/charlotte-hornets-acquire-naz-reid-multiple-draft-picks-from-minnesota-for-lamelo-ball-and-josh-green,2026-07-10,2026-07-11,Official four-team trade finalized July 10 2026,Julius Randle,MIN,31.0,2025-26,3,0.1277,33.15,0.8664634146341463,4.12,3.02,0.05020000000000001,0.6906249999999999,2.46325909375,0.9332317073170732
2026_MIN_BKN_CHI_CHA_01,2026-06-23,2026-07-10,CHI,CHA,PLAYER,Mouhamadou Gueye,1631338,OFFICIAL,https://www.nba.com/hornets/news/charlotte-hornets-acquire-naz-reid-multiple-draft-picks-from-minnesota-for-lamelo-ball-and-josh-green,2026-07-10,2026-07-11,Official four-team trade finalized July 10 2026,Mouhamadou Gueye,CHI,27.0,2025-26,2,0.05778571428571428,20.17142857142857,0.04790940766550522,-20.21428571428571,-7.85,-0.01971428571428572,0.42023809523809524,-0.03254701166180758,0.3572880371660859
2026_MIN_BKN_CHI_CHA_01,2026-06-23,2026-07-10,BKN,CHI,PLAYER,Nic Claxton,1629651,OFFICIAL,https://www.nba.com/hornets/news/charlotte-hornets-acquire-naz-reid-multiple-draft-picks-from-minnesota-for-lamelo-ball-and-josh-green,2026-07-10,2026-07-11,Official four-team trade finalized July 10 2026,Nic Claxton,BKN,27.0,2025-26,3,0.11805,27.83,0.8487804878048781,-11.715,-6.84,0.04055,0.5797916666666666,1.6363344249999998,0.9243902439024391
2026_MIN_BKN_CHI_CHA_01,2026-06-25,2026-07-10,CHA,MIN,PLAYER,LaMelo Ball,1630163,OFFICIAL,https://www.nba.com/hornets/news/charlotte-hornets-acquire-naz-reid-multiple-draft-picks-from-minnesota-for-lamelo-ball-and-josh-green,2026-07-10,2026-07-11,Official four-team trade finalized July 10 2026,LaMelo Ball,CHA,24.0,2025-26,3,0.13175000000000003,29.845,0.6951219512195123,2.575,1.405,0.054250000000000034,0.6217708333333333,1.9226708593750015,0.8475609756097562
2026_MIN_BKN_CHI_CHA_01,2026-06-25,2026-07-10,CHA,MIN,PLAYER,Josh Green,1630182,OFFICIAL,https://www.nba.com/hornets/news/charlotte-hornets-acquire-naz-reid-multiple-draft-picks-from-minnesota-for-lamelo-ball-and-josh-green,2026-07-10,2026-07-11,Official four-team trade finalized July 10 2026,Josh Green,CHA,25.0,2025-26,3,0.0548,20.935,0.7420731707317073,3.890000000000001,0.09000000000000008,-0.022699999999999998,0.4361458333333333,-0.6024460588541665,0.8710365853658537
2026_MIN_BKN_CHI_CHA_01,2026-06-25,2026-07-10,MIN,CHA,PLAYER,Naz Reid,1629675,OFFICIAL,https://www.nba.com/hornets/news/charlotte-hornets-acquire-naz-reid-multiple-draft-picks-from-minnesota-for-lamelo-ball-and-josh-green,2026-07-10,2026-07-11,Official four-team trade finalized July 10 2026,Naz Reid,MIN,26.0,2025-26,3,0.11185,26.235,0.9573170731707318,4.835000000000001,2.965,0.034350000000000006,0.5465625,1.4737921171875004,0.978658536585366
2026_PHX_CHA_01,2026-06-28,,CHA,PHX,PLAYER,Miles Bridges,1628970,REPORTED,https://www.nba.com/news/miles-bridges-trade-hornets-suns,2026-06-29,2026-07-11,Do not apply to default roster,Miles Bridges,CHA,28.0,2025-26,3,0.11985000000000001,32.17,0.8768292682926829,-1.5399999999999996,-1.535,0.04235000000000001,0.6702083333333334,2.0407609177083343,0.9384146341463415
2026_PHX_CHA_01,2026-06-28,,PHX,CHA,PLAYER,Grayson Allen,1628960,REPORTED,https://www.nba.com/news/miles-bridges-trade-hornets-suns,2026-06-29,2026-07-11,Do not apply to default roster,Grayson Allen,PHX,30.0,2025-26,3,0.096,28.095000000000002,0.7134146341463414,-0.16999999999999998,0.38500000000000006,0.018500000000000003,0.5853125,0.6334544531250001,0.8567073170731707
2026_PHX_CHA_01,2026-06-28,,PHX,CHA,PLAYER,Royce O'Neale,1626220,REPORTED,https://www.nba.com/news/miles-bridges-trade-hornets-suns,2026-06-29,2026-07-11,Do not apply to default roster,Royce O'Neale,PHX,33.0,2025-26,3,0.08275000000000002,26.675,0.9420731707317074,-2.7600000000000002,-1.175,0.0052500000000000185,0.5557291666666667,0.2253829101562508,0.9710365853658537
2026_TOR_LAC_01,2026-06-30,,LAC,TOR,PLAYER,Kawhi Leonard,202695,ON_HOLD,https://www.nba.com/news/raptors-clippers-kawhi-leonard-trade-on-hold,2026-07-09,2026-07-11,Do not apply; transaction is on hold,Kawhi Leonard,LAC,35.0,2025-26,3,0.16505,32.37,0.6957317073170732,9.075,6.130000000000001,0.08755,0.674375,3.3683193578125,0.8478658536585366
2026_TOR_LAC_01,2026-06-30,,TOR,LAC,PLAYER,Brandon Ingram,1627742,ON_HOLD,https://www.nba.com/news/raptors-clippers-kawhi-leonard-trade-on-hold,2026-07-09,2026-07-11,Do not apply; transaction is on hold,Brandon Ingram,TOR,28.0,2025-26,3,0.12204999999999999,33.455,0.6993902439024391,-2.0599999999999996,-1.3949999999999998,0.04454999999999999,0.6969791666666666,1.7807416945312498,0.8496951219512195
2026_TOR_LAC_01,2026-06-30,,TOR,LAC,PLAYER,Gradey Dick,1641711,ON_HOLD,https://www.nba.com/news/raptors-clippers-kawhi-leonard-trade-on-hold,2026-07-09,2026-07-11,Do not apply; transaction is on hold,Gradey Dick,TOR,22.0,2025-26,3,0.06865,19.685,0.8170731707317074,-1.5700000000000003,-1.2349999999999997,-0.008849999999999997,0.41010416666666666,-0.2431712656249999,0.9085365853658537
