season,conference,team,model_win_pct,historical_baseline_wins,historical_baseline_losses,historical_baseline_win_pct,conference_seed,old_roster_value,new_roster_value_low,new_roster_value_base,new_roster_value_high,roster_win_delta_low,roster_win_delta_base,roster_win_delta_high,injury_downside_wins,injury_upside_wins,adjusted_wins_low_raw,adjusted_wins_base_raw,adjusted_wins_high_raw,projected_wins,projected_losses,projected_win_pct,injury_win_adjustment_low,injury_win_adjustment_high,scenario_id,scenario_status
2026-27,East,CHI,0.4054035979051121,34,48,0.4146341463414634,11,6.743987400216951,7.229147235408032,7.229147235408032,7.229147235408032,0.4851598351910811,0.4851598351910811,0.4851598351910811,0.0,0.0,34.485159835191084,34.485159835191084,34.485159835191084,35,47,0.4268292682926829,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,MIL,0.3909158831512151,32,50,0.3902439024390244,12,6.405259310696811,5.468091290461584,5.468091290461584,5.468091290461584,-0.9371680202352276,-0.9371680202352276,-0.9371680202352276,0.0,0.0,31.062831979764773,31.062831979764773,31.062831979764773,32,50,0.3902439024390244,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,WAS,0.3085883310878289,26,56,0.3170731707317073,13,4.539615661743032,6.418836968278457,6.418836968278457,6.418836968278457,1.8792213065354249,1.8792213065354249,1.8792213065354249,0.0,0.0,27.879221306535424,27.879221306535424,27.879221306535424,29,53,0.35365853658536583,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,BKN,0.3347723780047337,28,54,0.3414634146341463,14,3.8413627064301887,2.9606886627538405,2.9606886627538405,2.9606886627538405,-0.8806740436763483,-0.8806740436763483,-0.8806740436763483,0.0,0.0,27.119325956323653,27.119325956323653,27.119325956323653,28,54,0.34146341463414637,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,IND,0.3134920543840617,26,56,0.3170731707317073,15,7.854079614992688,8.730056489494723,8.730056489494723,8.730056489494723,0.8759768745020349,0.8759768745020349,0.8759768745020349,0.0,0.0,26.875976874502037,26.875976874502037,26.875976874502037,28,54,0.34146341463414637,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,OKC,0.6664765874102566,55,27,0.6707317073170732,1,14.390003573981415,13.004981197380516,13.004981197380516,13.004981197380516,-1.3850223766009009,-1.3850223766009009,-1.3850223766009009,0.0,0.0,53.6149776233991,53.6149776233991,53.6149776233991,54,28,0.6585365853658537,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,SAS,0.6751705012850717,56,26,0.6829268292682927,2,13.289711221291157,10.649276596272726,10.649276596272726,10.649276596272726,-2.6404346250184307,-2.6404346250184307,-2.6404346250184307,0.0,0.0,53.35956537498157,53.35956537498157,53.35956537498157,54,28,0.6585365853658537,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,HOU,0.5801012580474812,48,34,0.5853658536585366,3,12.131466370912234,12.503459816102096,12.503459816102096,12.503459816102096,0.3719934451898616,0.3719934451898616,0.3719934451898616,0.0,0.0,48.37199344518986,48.37199344518986,48.37199344518986,49,33,0.5975609756097561,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,DEN,0.5872419286201455,48,34,0.5853658536585366,4,10.45748469494458,10.332266527351315,10.332266527351315,10.332266527351315,-0.1252181675932639,-0.1252181675932639,-0.1252181675932639,0.0,0.0,47.87478183240674,47.87478183240674,47.87478183240674,49,33,0.5975609756097561,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,LAL,0.551416327608646,45,37,0.5487804878048781,5,11.120270222465807,12.217836126277842,12.217836126277842,12.217836126277842,1.097565903812033,1.097565903812033,1.097565903812033,0.0,0.0,46.09756590381203,46.09756590381203,46.09756590381203,47,35,0.573170731707317,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,MIN,0.5527911024040559,46,36,0.5609756097560976,6,10.789235982128236,8.659074624583436,8.659074624583436,8.659074624583436,-2.1301613575448,-2.1301613575448,-2.1301613575448,0.0,0.0,43.8698386424552,43.8698386424552,43.8698386424552,45,37,0.5487804878048781,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,POR,0.5047533116041165,42,40,0.5121951219512195,7,8.142637356163846,8.322625066857706,8.322625066857706,8.322625066857706,0.1799877106938598,0.1799877106938598,0.1799877106938598,0.0,0.0,42.17998771069386,42.17998771069386,42.17998771069386,43,39,0.524390243902439,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,PHX,0.5361805879660807,44,38,0.5365853658536586,8,9.121150088001457,6.38560476521636,6.38560476521636,6.38560476521636,-2.7355453227850965,-2.7355453227850965,-2.7355453227850965,0.0,0.0,41.2644546772149,41.2644546772149,41.2644546772149,42,40,0.5121951219512195,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,GSW,0.4656144635958109,38,44,0.4634146341463415,9,9.567082659459576,8.424470133606777,8.920461197568187,9.4046465892121,-1.1426125258527993,-0.6466214618913888,-0.1624360702474767,0.4959910639614104,0.484185391643912,36.8573874741472,37.353378538108615,37.83756392975253,38,44,0.4634146341463415,-0.49599106396141046,0.4841853916439121,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,LAC,0.5015824454053572,41,41,0.5,10,7.375218782249743,3.707417610912094,3.707417610912094,3.707417610912094,-3.667801171337648,-3.667801171337648,-3.667801171337648,0.0,0.0,37.33219882866235,37.33219882866235,37.33219882866235,38,44,0.4634146341463415,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,NOP,0.4154240337788836,34,48,0.4146341463414634,11,7.97729042280014,7.752064674170525,7.752064674170525,7.752064674170525,-0.2252257486296143,-0.2252257486296143,-0.2252257486296143,0.0,0.0,33.77477425137039,33.77477425137039,33.77477425137039,34,48,0.4146341463414634,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,DAL,0.3823373792387723,32,50,0.3902439024390244,12,6.7560250025936295,7.957666583753851,8.453423761684226,8.760558561533292,1.2016415811602217,1.6973987590905963,2.004533558939663,0.4957571779303746,0.3071347998490665,33.201641581160224,33.697398759090596,34.00453355893966,34,48,0.4146341463414634,-0.49575717793037466,0.30713479984906655,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,UTA,0.3655530434346012,30,52,0.3658536585365853,13,7.202807495938733,6.162998446047521,6.162998446047521,6.162998446047521,-1.039809049891212,-1.039809049891212,-1.039809049891212,0.0,0.0,28.96019095010879,28.96019095010879,28.96019095010879,30,52,0.36585365853658536,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,MEM,0.3620822646877995,30,52,0.3658536585365853,14,5.4718484347486385,4.055835787421465,4.055835787421465,4.055835787421465,-1.4160126473271737,-1.4160126473271737,-1.4160126473271737,0.0,0.0,28.583987352672825,28.583987352672825,28.583987352672825,29,53,0.35365853658536583,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,West,SAC,0.3226430113962877,27,55,0.3292682926829268,15,5.8536421113963115,6.465602713189087,6.465602713189087,6.465602713189087,0.6119606017927754,0.6119606017927754,0.6119606017927754,0.0,0.0,27.611960601792774,27.611960601792774,27.611960601792774,28,54,0.34146341463414637,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
